,loss,dice_coef_3Class,one_hot_mean_io_u_3,val_loss,val_dice_coef_3Class,val_one_hot_mean_io_u_3,lr
0,0.12007104605436325,0.6553349494934082,0.6492336392402649,0.06359438598155975,0.7058623433113098,0.7048466205596924,1e-04
1,0.04141007736325264,0.7847170233726501,0.796307384967804,0.03113241121172905,0.8183003067970276,0.8410093784332275,1e-04
2,0.07555815577507019,0.6938502192497253,0.6864595413208008,0.0407211109995842,0.7556127905845642,0.7606565952301025,1e-04
3,0.03810565546154976,0.7965139746665955,0.8050976395606995,0.03451123088598251,0.7931381464004517,0.7800297737121582,1e-04
4,0.028620325028896332,0.8384494781494141,0.8408864140510559,0.028595706447958946,0.8306595683097839,0.8413991332054138,1e-04
5,0.0258246548473835,0.8521972298622131,0.8555376529693604,0.02503194846212864,0.8601858615875244,0.863130509853363,1e-04
6,0.023268939927220345,0.8668550848960876,0.8682629466056824,0.025612350553274155,0.8572984337806702,0.8515375256538391,1e-04
7,0.02706405706703663,0.863254964351654,0.8599146008491516,0.9083672761917114,0.6030810475349426,0.5375136733055115,1e-04
8,0.024617794901132584,0.8616546988487244,0.8639459609985352,0.021056612953543663,0.8773670196533203,0.8813038468360901,1e-04
9,0.019027024507522583,0.8873540759086609,0.8881909847259521,0.019589362666010857,0.8869951367378235,0.8823143839836121,1e-04
10,0.01865694485604763,0.8915009498596191,0.8903703689575195,0.019815444946289062,0.886785626411438,0.881885290145874,1e-04
11,0.018368113785982132,0.8947909474372864,0.8922759890556335,0.018306350335478783,0.8994184136390686,0.894752025604248,1e-04
12,0.017271148040890694,0.8992301821708679,0.8975930213928223,0.017320018261671066,0.8933640718460083,0.8955966830253601,1e-04
13,0.01732422411441803,0.8984431624412537,0.8968286514282227,0.017713192850351334,0.8989946246147156,0.8994176387786865,1e-04
14,0.01573985628783703,0.9091856479644775,0.9054708480834961,0.03899465873837471,0.822596549987793,0.8038765788078308,1e-04
