,loss,one_hot_mean_io_u,val_loss,val_one_hot_mean_io_u,lr
0,0.5645585060119629,0.39204320311546326,0.41258710622787476,0.6453580260276794,1e-04
1,0.3728099465370178,0.7073159217834473,0.42577898502349854,0.6973133087158203,1e-04
2,0.34016120433807373,0.7410931587219238,0.3141070604324341,0.7582604885101318,1e-04
3,0.3340792953968048,0.7493317723274231,0.35378846526145935,0.7231367230415344,1e-04
4,0.3173917233943939,0.7537808418273926,0.2991394102573395,0.7750346660614014,1e-04
5,0.29423123598098755,0.7711055278778076,0.347002238035202,0.7652320861816406,1e-04
6,0.300772100687027,0.7639326453208923,0.45181962847709656,0.6911337375640869,1e-04
7,0.28926771879196167,0.7713839411735535,0.27155801653862,0.7814287543296814,1e-04
8,0.2729259729385376,0.7823641896247864,0.32875776290893555,0.769085168838501,1e-04
9,0.27872180938720703,0.7835308909416199,0.43198689818382263,0.6924841403961182,1e-04
10,0.26934778690338135,0.7870349287986755,0.2679002285003662,0.7874805927276611,1e-04
11,0.2420966774225235,0.801649272441864,0.23173628747463226,0.8101035952568054,1e-04
12,0.2470855712890625,0.8022831082344055,0.2258155345916748,0.8208010196685791,1e-04
13,0.24413931369781494,0.8068985939025879,0.22344382107257843,0.824317991733551,1e-04
14,0.23906593024730682,0.8103533387184143,0.2106245458126068,0.8311872482299805,1e-04
15,0.23803606629371643,0.8089866638183594,0.22887422144412994,0.8280832171440125,1e-04
16,0.2326604574918747,0.8138696551322937,0.22169853746891022,0.8259999752044678,1e-04
17,0.22253595292568207,0.8220827579498291,0.20892579853534698,0.8218618035316467,1e-04
18,0.2286899834871292,0.8164517283439636,0.22743409872055054,0.8175301551818848,1e-04
19,0.2189926654100418,0.8241758346557617,0.22705984115600586,0.8233291506767273,1e-04
20,0.22949670255184174,0.8153738379478455,0.252151221036911,0.8000717759132385,1e-04
