,loss,one_hot_mean_io_u,val_loss,val_one_hot_mean_io_u,lr
0,0.9231259822845459,0.041172631084918976,0.9181467294692993,0.027489827945828438,1e-04
1,0.9192169308662415,0.027702391147613525,0.9177694916725159,0.028170287609100342,1e-04
2,0.8646688461303711,0.25068217515945435,0.8243380784988403,0.48471638560295105,1e-04
3,0.8262503147125244,0.5144370198249817,0.8169116973876953,0.5043137669563293,1e-04
4,0.8221108913421631,0.5246463418006897,0.8201125860214233,0.4887416362762451,1e-04
5,0.8221583366394043,0.5268032550811768,0.8167008757591248,0.5261836647987366,1e-04
6,0.8208948373794556,0.5348039269447327,0.8151358962059021,0.5336577892303467,1e-04
7,0.8204304575920105,0.5413745045661926,0.8129849433898926,0.5325050950050354,1e-04
8,0.4552253484725952,0.68746417760849,0.3743025064468384,0.7207403182983398,1e-04
9,0.38332486152648926,0.7296040058135986,0.3577289283275604,0.737585723400116,1e-04
10,0.36147716641426086,0.7375142574310303,0.32795271277427673,0.7510131001472473,1e-04
11,0.3421405851840973,0.7459141612052917,0.35670700669288635,0.7315585017204285,1e-04
12,0.33168548345565796,0.7515498995780945,0.3244222104549408,0.757116973400116,1e-04
13,0.3121269941329956,0.7611360549926758,0.28532174229621887,0.772108793258667,1e-04
14,0.30377107858657837,0.7682446837425232,0.2869594395160675,0.7760995030403137,1e-04
15,0.28895676136016846,0.7728407382965088,0.2629631757736206,0.7902401089668274,1e-04
16,0.2849327623844147,0.7767544388771057,0.2926607131958008,0.7664742469787598,1e-04
17,0.27172061800956726,0.7849569916725159,0.32197558879852295,0.743980884552002,1e-04
18,0.2793300747871399,0.7798029780387878,0.24235336482524872,0.8053656220436096,1e-04
19,0.26796427369117737,0.7892830967903137,0.25902119278907776,0.7815921306610107,1e-04
20,0.2567894160747528,0.7949187159538269,0.2331051379442215,0.8166913986206055,1e-04
21,0.253680944442749,0.7975323796272278,0.25903549790382385,0.7910635471343994,1e-04
22,0.25483307242393494,0.7962408661842346,0.23938511312007904,0.8012627959251404,1e-04
23,0.24224820733070374,0.803378164768219,0.2600364089012146,0.79634690284729,1e-04
