,loss,one_hot_mean_io_u,val_loss,val_one_hot_mean_io_u,lr
0,0.5160363912582397,0.5530956983566284,0.46861523389816284,0.6481550335884094,1e-04
1,0.3604666292667389,0.738852322101593,0.35686948895454407,0.742146909236908,1e-04
2,0.3074914216995239,0.7719077467918396,0.2866833508014679,0.7851805090904236,1e-04
3,0.288638174533844,0.7936456203460693,0.230167418718338,0.818919837474823,1e-04
4,0.2513977885246277,0.8112656474113464,0.27568724751472473,0.7586777806282043,1e-04
5,0.24327819049358368,0.818925678730011,0.23062856495380402,0.831123411655426,1e-04
6,0.22832536697387695,0.8290284276008606,0.2108517289161682,0.838543713092804,1e-04
7,0.21186381578445435,0.8387145400047302,0.20650596916675568,0.8410642743110657,1e-04
8,0.21664927899837494,0.8337490558624268,0.20672214031219482,0.8347468972206116,1e-04
9,0.203343003988266,0.8447921276092529,0.19652070105075836,0.8487399220466614,1e-04
10,0.2089901715517044,0.8425567150115967,0.37802156805992126,0.6694855093955994,1e-04
11,0.1861245483160019,0.8547504544258118,0.17576858401298523,0.8631914258003235,1e-04
12,0.18783697485923767,0.8578041195869446,0.17880606651306152,0.8638280034065247,1e-04
13,0.19058570265769958,0.8552508354187012,0.17794029414653778,0.8630021214485168,1e-04
14,0.1766625940799713,0.8635089993476868,0.15189281105995178,0.8733994364738464,1e-04
15,0.16566795110702515,0.8678862452507019,0.17498210072517395,0.8678309321403503,1e-04
16,0.1731472611427307,0.8677689433097839,0.17562030255794525,0.8681467175483704,1e-04
17,0.176980122923851,0.8631637692451477,0.18838001787662506,0.852465808391571,1e-04
